" Trinchero Napa Valley",Barbera,varietal
"Ruche di Castagnole",Ruch,varietal
"Luca Ferraris","Other Red Wines",varietal
"Cascina Ebreo","Barbera Blend",varietal
"Cascina Ebreo",Nebbiolo,varietal
Burlotto,Pelaverga,varietal
" Graver"," Chardonnay, Sauvignon, Pinot Grigio, Riesling Italico",varietal
" Dario Princic"," Friulano",varietal
Damijan,"Chardonnay, Friulano, Malvasia Istriana",varietal
"Edi Simcic",Chardonnay,varietal
" Vignai da Duline"," Sauvignon, Malvasia",varietal
" Radikon"," Pinot Grigio, Chardonnay,",varietal
" Ivana Radikon"," White blend",varietal
" Bastianich"," Friulano2008",varietal
" Zidarich"," Sauvignon, Malvasia, Vitovska",varietal
" Ronco del Gnemiz"," Friulano",varietal
" Ronchi di Cialla"," picolit",varietal
"Marjan Simcic","Ribolla, Sauvignonasse, Pinot Grigio",varietal
Bastianich,"Other White Blends",varietal
"Dario Princic","Charidonnay Sauvignon, Pinot Grigio",varietal
Movia,"Ribolla Gialla, Sauvignon, Pinot Grigio",varietal
Bastianich,"Chardonnay, Sauvignon, Picolit",varietal
"Bastianich Wines","Other White Wines",varietal
Tercic,"Tocai, Malvasia, Sauvignon, Chardonnay, Ribolla Gialla, Malvasia Istriana, Picolit",varietal
Jermann,Chardonnay,varietal
Kuenhof,Gewürztraminer,varietal
" Kuenhof",Gewürztraminer,varietal
" Alois Lageder",Gewürztraminer,varietal
" Terlano",Gewürztraminer,varietal
" Widmann",Gewürztraminer,varietal
" Abbazia di Novacella"," Kerner White Wine",varietal
" Lahon Castelfeder"," Kerner White Wine",varietal
" Graf meran"," Kerner White Wine",varietal
" Straserhof"," Kerner White Wine",varietal
" Loacker"," Muller Thurgau",varietal
" Niedrist"," White",varietal
Kuenhof,"White wine",varietal
"Niedrist Terlano","White wine",varietal
Zeni,"Pinot Bianco, Riesling",varietal
Kuenhof,"Gruner Veltliner",varietal
"Baron Widmann","Pinot Bianco",varietal
Zyme,"Rondinella, Kerner, Traminer, Incrocio Manzoni",varietal
"Monte Carbone Suavia","White wine",varietal
Beyond,"Sauvignon Blanc",varietal
Mulderbosch,"Sauvignon Blanc",varietal
"Frog's Leap","Cabernet Sauvignon",varietal
"Domaine Fournier","Sauvignon Blanc",varietal
Illumination,"Sauvignon Blanc",varietal
"Domaine Michel Barraud",Chardonnay,varietal
"Wlffer Estate",Chardonnay,varietal
"Pine Ridge",Chardonnay,varietal
"Peay Vineyards",Chardonnay,varietal
"Chateau de Puligny-Montrachet",Chardonnay,varietal
Bisol,Rose,varietal
Dibon,"Pinot Noir",varietal
"Heitz Cellars",Chardonnay,varietal
Ryme,Chardonnay,varietal
"Au Bon Climat","Pinot Noir",varietal
"Marietta Cellars","Red Blend",varietal
"Castello di Querceto","Cabernet Sauvignon",varietal
"Castello di Fonterutoli",Sangiovese,varietal
Petrolo,Merlot,varietal
Avignonesi,Sangiovese,varietal
"Tenute del Cabreo","Other Red Blends",varietal
"Podere Il Carnasciale",Caberlot,varietal
"Castello di Ama",Merlot,varietal
Riecine,"Other Red Blends",varietal
Montevertine,Sangiovese,varietal
"Azienda Agricola Cesani",Sangiovese,varietal
"Tenuta Dell'Ornellaia",Merlot,varietal
"Le Macchiole",Merlot,varietal
Monteverro,"Cabernet Sauvignon",varietal
"Tenuta Dell'Ornellaia","Bordeaux Red Blends",varietal
"Casanova di Neri","Cabernet Sauvignon",varietal
Fontodi,"Pinot Noir",varietal
"Podere San Cristoforo","Petit Verdot",varietal
"Dal Forno Romano","Red Wine",varietal
"Monte Dall'Ora","Red Wine",varietal
Speri,"Red Wine",varietal
"Le Salette","Red Wine",varietal
"Santa Sofia","Corvina Blend",varietal
"Tomasso Bussola","Corvina Blend",varietal
Zeni,"Corvina Blend",varietal
"Ca Orologio","Red Wine",varietal
"Corte Gardoni",Corvina,varietal
"Contra Soarda",Marzemino,varietal
Comelli,Pignolo,varietal
Zamo,Pignolo,varietal
"Antico Broilo",Schioppettino,varietal
"Vignai Da Duline",Schioppettino,varietal
"Ronchi di Cialla",Schioppettino,varietal
"Angiolino Maule","Merlot Blend",varietal
Bastianich,"Other Red Wines",varietal
Bastianich,"Red Wine",varietal
Batianich,"Red Wine",varietal
"Damijan Rosso","Red Wine",varietal
"La Castellada","Red Wine",varietal
Meroi,Merlot,varietal
Raccaro,"Other Red Wine",varietal
"Ronchi di Cialla","Schioppettino, Refosco",varietal
"Sant Elena","Other Red Wine",varietal
"Sant Elena","Bordeaux Red Blends",varietal
Villanova,Merlot,varietal
"Georges Vernay",Viognier,varietal
